Weight,Xcg,time
65621.01872694946,7.153371085280204,9.0
65620.97124643748,7.153370981052605,9.1
65620.92376857979,7.153370876830683,9.2
65620.8762925059,7.153370772612526,9.3
65620.82881693679,7.1533706683953255,9.4
65620.78134107716,7.1533705641773375,9.5
65620.73386504382,7.153370459958817,9.6
65620.68638980707,7.1533703557418935,9.7
65620.63891686591,7.15337025152986,9.8
65620.59144786149,7.153370147326316,9.9
65620.5439842441,7.153370043134449,10.0
65620.49652704688,7.153369938956521,10.1
65620.44907676466,7.153369834793625,10.2
65620.4016332709,7.15336973064548,10.3
65620.35419574672,7.153369626510288,10.4
65620.30676274541,7.1533695223848754,10.5
65620.25933249418,7.153369418265349,10.6
65620.21190333362,7.153369314148066,10.7
65620.16447412752,7.153369210030531,10.8
65620.11704450112,7.153369105911926,10.9
65620.06961475365,7.153369001792902,11.0
65620.0221853882,7.153368897674568,11.1
65619.97475647848,7.153368793557083,11.2
65619.92732734166,7.153368689438949,11.3
65619.87989689157,7.153368585317782,11.4
65619.8324645398,7.15336848119229,11.5
65619.78503099509,7.1533683770640275,11.6
65619.73759828352,7.153368272937444,11.7
65619.69016886104,7.153368168817931,11.8
65619.6427444009,7.153368064709159,11.9
65619.5953251083,7.153367960611583,12.0
65619.54790996209,7.153367856522958,12.1
65619.50049750747,7.153367752440092,12.2
65619.45308650222,7.153367648360256,12.3
65619.40567610381,7.153367544281603,12.4
65619.35826580062,7.153367440203008,12.5
65619.31085533439,7.153367336123905,12.6
65619.26344460322,7.15336723204407,12.7
65619.21603354908,7.153367127963375,12.8
65619.16862230744,7.153367023882119,12.9
65619.12121186408,7.1533669198024645,13.0
65619.07380490363,7.153366815730305,13.1
65619.02640598135,7.153366711675643,13.2
65618.97902039083,7.153366607650096,13.3
65618.93165216525,7.153366503662521,13.4
65618.88430249436,7.153366399715529,13.5
65618.83696951019,7.153366295805019,13.6
65618.78964928938,7.153366191922379,13.7
65618.74233721987,7.153366088057485,13.8
65618.6950290281,7.153365984200952,13.9
65618.64772126878,7.153365880345221,14.0
65618.6004114159,7.153365776484742,14.1
65618.55309779507,7.153365672615842,14.2
65618.50577953148,7.153365568736601,14.3
65618.4584565371,7.153365464846823,14.4
65618.41112945728,7.1533653609479275,14.5
65618.3637994567,7.153365257042469,14.6
65618.31646779786,7.153365153133221,14.7
65618.26913537494,7.153365049222145,14.8
65618.22180247855,7.153364945309879,14.9
65618.17446890705,7.153364841395983,15.0
65618.12713428342,7.1533647374796265,15.1
65618.07979833362,7.153364633560209,15.2
65618.0324609408,7.153364529637472,15.3
65617.98512195374,7.153364425711087,15.4
65617.93778089451,7.153364321780002,15.5
65617.89043675082,7.153364217841994,15.6
65617.84308798486,7.153364113893689,15.7
65617.7957327859,7.153364009931112,15.8
