Weight,Xcg,time
65621.01816976421,7.153371084057091,9.0
65620.97013107131,7.153370978604191,9.1
65620.92209472138,7.153370873156279,9.2
65620.87406095547,7.153370767713885,9.3
65620.82602891127,7.153370662275116,9.4
65620.77799694457,7.1533705568363635,9.5
65620.72996349211,7.153370451394195,9.6
65620.68192797668,7.153370345947343,9.7
65620.63389114798,7.153370240497454,9.8
65620.58585459273,7.153370135048011,9.9
65620.53781974729,7.153370029602168,10.0
65620.48978712768,7.153369924161055,10.1
65620.44175628999,7.1533698187237,10.2
65620.39372642049,7.153369713288316,10.3
65620.34569696782,7.153369607853692,10.4
65620.29766779355,7.153369502419526,10.5
65620.24963884303,7.153369396985696,10.6
65620.20160978664,7.15336929155148,10.7
65620.15358001372,7.153369186115537,10.8
65620.10554895381,7.153369080676613,10.9
65620.05751641329,7.153368975234286,11.0
65620.0094826521,7.153368869789124,11.1
65619.96144815831,7.1533687643422,11.2
65619.91341328302,7.153368658894282,11.3
65619.8653780016,7.153368553445321,11.4
65619.8173420082,7.153368447994642,11.5
65619.76930508525,7.153368342541766,11.6
65619.72126747492,7.1533682370872285,11.7
65619.67323000614,7.1533681316328455,11.8
65619.62519386501,7.153368026181226,11.9
65619.57716009907,7.153367920734663,12.0
65619.52912916995,7.153367815294175,12.1
65619.48110084808,7.153367709859255,12.2
65619.43307448542,7.153367604428483,12.3
65619.38504944432,7.153367499000458,12.4
65619.3370254217,7.153367393574514,12.5
65619.28900263869,7.153367288151136,12.6
65619.24098204084,7.153367182732401,12.7
65619.19296547059,7.153367077322354,12.8
65619.14495543402,7.153366971926496,12.9
65619.0969540781,7.15336686654954,13.0
65619.04896164207,7.153366761192013,13.1
65619.00097551882,7.153366655848188,13.2
65618.95299107186,7.153366550507891,13.3
65618.90500402033,7.15336644516172,13.4
65618.85701265388,7.153366339805924,13.5
65618.8090181672,7.153366234443124,13.6
65618.76102317257,7.153366129079055,13.7
65618.71302994265,7.153366023718705,13.8
65618.66503959667,7.153365918364533,13.9
65618.61705216895,7.153365813016613,14.0
65618.5690669198,7.15336570767332,14.1
65618.52108260382,7.153365602331923,14.2
65618.47309782446,7.1533654969893545,14.3
65618.42511149494,7.15336539164323,14.4
65618.37712310073,7.153365286292418,14.5
65618.32913249545,7.153365180936597,14.6
65618.28113942553,7.153365075575211,14.7
65618.23314336075,7.153364970207098,14.8
65618.18514397973,7.153364864831548,14.9
65618.13714192079,7.153364759449967,15.0
65618.0891390029,7.153364654066345,15.1
65618.04113762086,7.153364548685941,15.2
65617.99313980811,7.153364443313217,15.3
65617.94514664801,7.153364337950556,15.4
65617.89715830577,7.153364232598316,15.5
65617.84917445996,7.153364127255794,15.6
65617.80119471268,7.153364021922116,15.7
65617.75321870534,7.153363916596494,15.8
65617.70524596938,7.1533638112779006,15.9
65617.65727575027,7.1533637059646775,16.0
65617.60930701229,7.153363600654553,16.1
65617.56133864044,7.153363495345078,16.2
65617.51336973724,7.153363390034283,16.3
65617.46539988808,7.153363284721256,16.4
65617.41742921188,7.153363179406261,16.5
65617.36945808427,7.1533630740901195,16.6
65617.32148673365,7.153362968773336,16.7
65617.27351505645,7.15336286345568,16.8
65617.22554277831,7.153362758136551,16.9
65617.17756984597,7.153362652815833,17.0
65617.12959684231,7.153362547494804,17.1
65617.08162516664,7.153362442176535,17.200000000000006
65617.03365674189,7.15336233686525,17.3
65616.98569323545,7.153362231564609,17.4
65616.93773516346,7.153362126275746,17.5
65616.88978145052,7.153362020996298,17.6
65616.84182979378,7.15336191572121,17.700000000000006
65616.7938776452,7.153361810444888,17.8
65616.74592316944,7.153361705163304,17.9
65616.69796559578,7.153361599874765,18.0
65616.6500049418,7.153361494579309,18.1
65616.60204155462,7.153361389277698,18.200000000000006
65616.55407586719,7.1533612839708836,18.3
65616.5061084042,7.153361178660018,18.4
65616.4581398514,7.153361073346604,18.5
65616.41017104175,7.153360968032472,18.6
65616.36220282399,7.153360862719486,18.700000000000006
65616.31423584945,7.153360757409076,18.8
65616.26627036471,7.153360652101783,18.9
65616.21830614183,7.153360546797106,19.0
65616.17034265387,7.15336044149389,19.1
65616.12237945858,7.15336033619116,19.200000000000006
65616.074416557,7.153360230888922,19.3
65616.0264544403,7.153360125588254,19.4
65615.97849376977,7.153360020290608,19.5
65615.93053496469,7.153359914996901,19.6
65615.88257803532,7.153359809707159,19.700000000000006
65615.83462278865,7.153359704420958,19.8
65615.78666926925,7.153359599138395,19.9
65615.73871812104,7.153359493860885,20.0
65615.69077057912,7.153359388591138,20.1
65615.64282803562,7.153359283332211,20.200000000000006
65615.59489143912,7.1533591780861885,20.3
65615.54696095207,7.153359072853424,20.4
65615.49903606377,7.153358967632799,20.5
65615.45111590647,7.153358862422406,20.6
65615.40319943755,7.153358757219959,20.700000000000006
65615.35528551707,7.153358652022953,20.8
65615.30737302752,7.153358546828934,20.9
65615.25946096845,7.153358441635707,21.0
65615.21154848608,7.153358336441398,21.1
65615.16363497726,7.153358231244681,21.200000000000006
65615.11572029104,7.153358126045226,21.3
65615.06780481899,7.153358020843892,21.4
65615.01988933189,7.153357915642371,21.5
65614.97197465821,7.153357810442482,21.6
65614.92406142205,7.153357705245595,21.70000000000001
65614.87615001875,7.153357600052579,21.8
65614.82824082387,7.153357494864259,21.9
65614.78033439048,7.153357389681847,22.0
65614.73243134886,7.153357284506729,22.1
65614.68453202568,7.153357179339623,22.20000000000001
65614.63663613833,7.1533570741799055,22.3
65614.58874289892,7.153356969025848,22.4
65614.54085150754,7.153356863875694,22.5
