nr.,time,ET,hp,Vi,aoa,delta,deltaTr,Fe,FFl,FFr,F. Used,TAT
1,37:19,,6060,161,5.3,0.0,2.8,0,462,486,664,5.5
2,39:11,,6350,150,6.3,-0.4,2.8,-23,458,482,694,4.5
3,41:24,,6550,140,7.3,-0.9,2.8,-29,454,477,730,3.5
4,42:56,,6880,130,8.5,-1.5,2.8,-46,449,473,755,2.5
5,45:41,,6160,173,4.5,0.4,2.8,26,465,489,798,5.0
6,47:20,,5810,179,4.1,0.6,2.8,40,472,496,825,6.2
7,48:40,,5310,192,3.4,1.0,2.8,83,482,505,846,8.2
