nr.,time,ET,hp,Vi,aoa,FFl,FFr,F. Used,TAT
1,19:17,,1527.048,128.096666556,0.029670597283903602,0.10054630868333334,0.10243627689166668,163.2932532,285.65
2,21:37,,1530.096,113.692222124,0.041887902047863905,0.0847965736138889,0.0859305545388889,186.88005644,283.65
3,23:46,,1530.096,98.773333248,0.06283185307179587,0.07068481099166667,0.07295277284166667,202.75578939000002,281.95
4,26:04,,1533.144,83.854444372,0.0942477796076938,0.05833701869722222,0.06098297418888889,216.81715286000002,280.34999999999997
5,29:47,,1530.096,66.87777772,0.15184364492350666,0.05581706108611111,0.05884101021944445,241.31114084,279.15
6,32:00,,1557.528,60.704444392,0.18500490071139894,0.05972299538333334,0.06287294239722223,258.5476509,278.34999999999997
