nr.,time,ET,hp,Vi,aoa,delta,deltaTr,Fe,FFl,FFr,F. Used,TAT
1,37:19,,1847.0880000000002,82.825555484,0.09250245035569947,0.0,0.048869219055841226,0,0.05821102081666667,0.06123496995,301.18533368000004,278.65
2,39:11,,1935.48,77.1666666,0.10995574287564276,-0.006981317007977318,0.048869219055841226,-23,0.05770702929444444,0.060730978427777776,314.79310478,277.65
3,41:24,,1996.44,72.02222216,0.12740903539558607,-0.015707963267948967,0.048869219055841226,-29,0.05720303777222223,0.060100989025,331.12243010000003,276.65
4,42:56,,2097.024,66.87777772,0.14835298641951802,-0.026179938779914945,0.048869219055841226,-46,0.05657304836944445,0.05959699750277778,342.46223935,275.65
5,45:41,,1877.568,88.998888812,0.07853981633974483,0.006981317007977318,0.048869219055841226,26,0.05858901445833334,0.06161296359166667,361.96671126,278.15
6,47:20,,1770.8880000000001,92.085555476,0.0715584993317675,0.010471975511965976,0.048869219055841226,40,0.05947099962222223,0.06249494875555556,374.21370525000003,279.34999999999997
7,48:40,,1618.488,98.773333248,0.059341194567807204,0.017453292519943295,0.048869219055841226,83,0.060730978427777776,0.06362892968055556,383.73914502,281.34999999999997
