nr.,time,ET,hp,Vi,aoa,delta,deltaTr,Fe,FFl,FFr,F. Used,TAT
1,51:02,,5730,161,5.3,0.0,2.8,0,471,493,881,5.0
2,52:46,,5790,161,5.3,-0.5,2.8,-30,468,490,910,5.0
