nr.,time,ET,hp,Vi,aoa,delta,deltaTr,Fe,FFl,FFr,F. Used,TAT
1,00:38:50,-,3648.456,82.31111104,0.0942477796076938,0.003490658503988659,0.059341194567807204,0,0.05342310135555556,0.05959699750277778,331.57602247,271.65
2,00:41:40,-,3749.04,76.652222156,0.10821041362364843,-0.003490658503988659,0.059341194567807204,-16,0.05291910983333333,0.0589670081,351.53408675000003,270.65
3,00:42:46,-,3815.7912,72.02222216,0.12740903539558607,-0.010471975511965976,0.059341194567807204,-27,0.05241511831111111,0.05833701869722222,356.97719519000003,269.34999999999997
4,00:44:06,-,3928.8720000000003,66.87777772,0.14835298641951802,-0.020943951023931952,0.059341194567807204,-40,0.05178512890833334,0.05770702929444444,366.04904259,268.95
5,00:45:49,-,3685.032,87.969999924,0.08028514559173916,0.008726646259971648,0.059341194567807204,26,0.05367509711666667,0.05972299538333334,379.65681369000004,272.34999999999997
6,00:46:47,-,3587.496,93.114444364,0.06981317007977318,0.013962634015954637,0.059341194567807204,50,0.0544310844,0.06047898266666667,386.00710687000003,273.65
7,00:48:39,-,3340.608,97.74444436,0.059341194567807204,0.017453292519943295,0.059341194567807204,72,0.05594305896666667,0.06199095723333334,400.97565508,275.34999999999997
