nr.,time,ET,hp,Vi,aoa,FFl,FFr,F. Used,TAT
1,00:22:40,-,3657.6000000000004,128.096666556,0.027925268031909273,0.09286043796944445,0.09916033199722223,224.07463078,278.34999999999997
2,00:24:00,-,3654.552,114.206666568,0.038397243543875255,0.07685870713888888,0.0818986223611111,235.41444003,275.95
3,00:26:50,-,3700.2720000000004,98.258888804,0.061086523819801536,0.060226986905555564,0.06677887669444445,256.27968905,273.65
4,00:29:00,-,3700.2720000000004,83.339999928,0.09250245035569947,0.05291910983333333,0.05669904625,268.98027541,271.65
5,00:31:40,-,3672.84,66.87777772,0.15184364492350666,0.051407135266666674,0.05594305896666667,284.40241599,270.15
6,00:33:44,-,3681.9840000000004,60.704444392,0.1832595714594046,0.05115513950555556,0.05594305896666667,298.01018709,269.34999999999997
