nr.,time,ET,hp,Vi,aoa,FFl,FFr,F. Used,TAT
1,00:30:00,-,17990,225,2.3,590,620,1720,-4.0
2,00:31:00,-,17990,220,3.1,580,580,1720,-6.5
3,00:33:00,-,17990,180,4.0,510,510,1720,-8.0
4,00:35:00,-,17980,160,5.5,460,480,1720,-9.8
5,00:38:00,-,17990,132,8.6,400,400,1720,-11.5
6,00:39:00,-,17975,120,10.4,410,420,1720,-12.0
