nr.,time,ET,hp,Vi,aoa,delta,deltaTr,Fe,FFl,FFr,F. Used,TAT
1,00:50:20,-,11630,161,5.2,0.2,3.4,0,430,478,880,-0.5
2,00:51:36,-,11730,161,5.2,-0.3,3.4,-30,430,478,906,-0.8
